# samasika differential vectors
# openmina rev: see metatheory/fixtures/pickles-extractors/README.md
# cols: name	branch	fx_expect	om_short	oc_short	e_len	e_mwd	e_dens	e_slot	e_spe	e_stakelock	e_nextlock	e_vrf	e_hash	e_epochcount	c_len	c_mwd	c_dens	c_slot	c_spe	c_stakelock	c_nextlock	c_vrf	c_hash	c_epochcount	om_relmwd_e	om_relmwd_c	oc_vmwd_e	oc_vmwd_c	om_short_take	om_long_take	om_take	oc_take
derived-slotdelta-14	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	111	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-20	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	117	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-70	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	167	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-77	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	174	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-78	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	175	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-100	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	197	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-1000	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	1097	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-5000	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	5097	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	0	41	true	true	true	true
derived-hi-10000-10000	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10000	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-hi-10000-10001	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10001	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-hi-10000-10006	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10006	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	29	41	40	41	true	true	true	true
derived-hi-10000-10007	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10007	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	25	41	40	41	true	true	true	true
derived-hi-10000-10008	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10008	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	18	41	40	41	true	true	true	true
derived-hi-10000-10013	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10013	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	40	41	true	true	true	true
derived-hi-10000-10014	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10014	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	40	41	true	true	true	true
derived-hi-10000-10015	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10015	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	40	41	true	true	true	true
derived-hi-10000-10021	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10021	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	39	41	true	true	true	true
derived-hi-10000-10028	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10028	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	36	41	true	true	true	true
derived-hi-10000-10042	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10042	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	34	41	true	true	true	true
derived-hi-10000-10070	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10070	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	12	41	true	true	true	true
derived-hi-10000-10076	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10076	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	5	41	true	true	true	true
derived-hi-10000-10077	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10077	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	5	41	true	true	true	true
derived-hi-10000-10078	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10078	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	5	41	true	true	true	true
derived-hi-10000-10084	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10084	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	0	41	true	true	true	true
derived-hi-10000-10100	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10100	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	0	41	true	true	true	true
derived-hi-10000-10200	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10000	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10200	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	0	41	0	41	true	true	true	true
derived-swapped-10001-10000	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10001	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10000	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-swapped-10006-10000	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	10006	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	10000	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	30	40	41	true	false	false	true
